A011;Cash Grains
A013;Field Crops, Except Cash Grains
A016;Vegetables And Melons
A017;Fruits And Tree Nuts
A018;Horticultural Specialties
A019;General Farms, Primarily Crop
A021;Livestock, Except Dairy And Poultry
A024;Dairy Farms
A025;Poultry And Eggs
A027;Animal Specialties
A029;General Farms, Primarily Livestock And Animal
A071;Soil Preparation Services
A072;Crop Services
A074;Veterinary Services
A075;Animal Services, Except Veterinary
A076;Farm Labor And Management Services
A078;Landscape And Horticultural Services
A081;Timber Tracts
A083;Forest Nurseries And Gathering Of Forest
A085;Forestry Services
A091;Commercial Fishing
A092;Fish Hatcheries And Preserves
A097;Hunting And Trapping, And Game Propagation
B101;Iron Ores
B102;Copper Ores
B103;Lead And Zinc Ores
B104;Gold And Silver Ores
B106;Ferroalloy Ores, Except Vanadium
B108;Metal Mining Services
B109;Miscellaneous Metal Ores
B122;Bituminous Coal And Lignite Mining
B123;Anthracite Mining
B124;Coal Mining Services
B131;Crude Petroleum And Natural Gas
B132;Natural Gas Liquids
B138;Oil And Gas Field Services
B141;Dimension Stone
B142;Crushed And Broken Stone, Including Riprap
B144;Sand And Gravel
B145;Clay, Ceramic, And Refractory Minerals
B147;Chemical And Fertilizer Mineral Mining
B148;Nonmetallic Minerals Services, Except Fuels
B149;Miscellaneous Nonmetallic Minerals, Except
C152;General Building Contractors-residential
C153;Operative Builders
C154;General Building Contractors-nonresidential
C161;Highway And Street Construction, Except
C162;Heavy Construction, Except Highway And Street
C171;Plumbing, Heating And Air-conditioning
C172;Painting And Paper Hanging
C173;Electrical Work
C174;Masonry, Stonework, Tile Setting, And Plastering
C175;Carpentry And Floor Work
C176;Roofing, Siding, And Sheet Metal Work
C177;Concrete Work
C178;Water Well Drilling
C179;Miscellaneous Special Trade Contractors
D201;Meat Products
D202;Dairy Products
D203;Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties
D204;Grain Mill Products
D205;Bakery Products
D206;Sugar And Confectionery Products
D207;Fats And Oils
D208;Beverages
D209;Miscellaneous Food Preparations And Kindred
D211;Cigarettes
D212;Cigars
D213;Chewing And Smoking Tobacco And Snuff
D214;Tobacco Stemming And Redrying
D221;Broadwoven Fabric Mills, Cotton
D222;Broadwoven Fabric Mills, Manmade Fiber And Silk
D223;Broadwoven Fabric Mills, Wool (including Dyeing and Finishing)
D224;Narrow Fabric And Other Smallwares Mills, Cotton, Wool, Silk, and Manmade Fiber
D225;Knitting Mills
D226;Dyeing And Finishing Textiles, Except Wool Fabrics
D227;Carpets And Rugs
D228;Yarn And Thread Mills
D229;Miscellaneous Textile Goods
D231;Men's And Boys' Suits, Coats, And Overcoats
D232;Men's And Boys' Furnishings, Work Clothing, And Allied Garments
D233;Women's, Misses', And Juniors' Outerwear
D234;Women's, Misses', Children's, And Infants'
D235;Hats, Caps, And Millinery
D236;Girls', Children's, And Infants' Outerwear
D237;Fur Goods
D238;Miscellaneous Apparel And Accessories
D239;Miscellaneous Fabricated Textile Products
D241;Logging
D242;Sawmills And Planing Mills
D243;Millwork, Veneer, Plywood, And Structural Wood
D244;Wood Containers
D245;Wood Buildings And Mobile Homes
D249;Miscellaneous Wood Products
D251;Household Furniture
D252;Office Furniture
D253;Public Building And Related Furniture
D254;Partitions, Shelving, Lockers, And Office And
D259;Miscellaneous Furniture And Fixtures
D261;Pulp Mills
D262;Paper Mills
D263;Paperboard Mills
D265;Paperboard Containers And Boxes
D267;Converted Paper And Paperboard Products, Except
D271;Newspaper
D272;Periodical
D273;Books
D274;Miscellaneous Publishing
D275;Commercial Printing
D276;Manifold Business Forms
D277;Greeting Cards
D278;Blankbooks, Looseleaf Binders, And Bookbinding
D279;Service Industries For The Printing Trade
D281;Industrial Inorganic Chemicals
D282;Plastics Materials And Synthetic Resins, Synthetic
D283;Drugs
D284;Soap, Detergents, And Cleaning Preparations, Perfumes, Cosmetics, and Other Toilet Preparations
D285;Paints, Varnishes, Lacquers, Enamels, And Allied
D286;Industrial Organic Chemicals
D287;Agricultural Chemicals
D289;Miscellaneous Chemical Products
D291;Petroleum Refining
D295;Asphalt Paving And Roofing Materials
D299;Miscellaneous Products Of Petroleum And Coal
D301;Tires And Inner Tubes
D302;Rubber And Plastics Footwear
D305;Gaskets, Packing, And Sealing Devices And Rubber
D306;Fabricated Rubber Products, Not Elsewhere
